text,true,response,pred
"Having had more than a few mates suggest i check Rise of the Footsoldier out, i eventually got round to it last night. Undoubtedly the story Colton Leach has to tell (and did so in his autobiography) is a compelling tale of one mans ascent from Terrace boot boy to connected underworld villain. This film sadly compromised in quality by miscasts, appalling accents and woeful acting.Ricci Harnett in the lead role of Leach does a reasonable job of conveying the transition from thuggery to serious criminal but his accent is all over the place. As his voice provides the stories narration it is something that after ten minutes was driving me nuts. Terry Stone as Tony Tucker provided the unintentional comedy with an ill fitting wig (or the worst Barnett going)dialogue that was so expletive riddled it bordered on juvenile and an over the top vehemence in line delivery reducing Tucker to parody.What troubled me most about this film was that the events leading up to the shooting in Rettenden, Essex and the formative years of Leach are of genuine interest to crime fans and fans of football hooliganism so, to have this story sabotaged by a lack of credible accents and acting left me feeling an opportunity had been missed. Roland Manookian and Frank Harper provide the films only source of authenticity. On the positive side some of the films pacing and construct flowed well and kept the attention. The violence was well choreographed and aside from an over reliance on projectile red syrup for blood spatterings was on the whole realistic. If you enjoyed the film then it is worth checking out Essex Boys telling a similar tale from fictionalised viewpoint and also featuring Billy Murray.",neg,negative,neg
"A man kicks a dog 2' in the air. A woman kicks a cow out of her bed. A man kicks a violin down the sidewalk. A woman sucks on a statue's toe for 15 seconds. A man kicks a blind man in the stomach. Jesus rapes a young girl. There you have it. I just saved you an hour of your life. Surely there are those to whom this ""shocking vanguard of cinematic expression"" would appeal. But I found it no different from the puerile, disconnected videos I used to shoot with my friends in the 9th grade. Except we never had a real cow. Having heard endless sermons from beard stroking art connaisseurs of how this is such an important film, I thought it would be worth my time. Make no mistake, this is crap. If I hear one more person call Buñuel the ""father of cinematic Surrealism"", I think I'm going to punch someone. If anything, he issued a major step backward from the Surrealist beginnings pioneered by his seniors Fritz Lang (Metropolis), F.W. Murnau (Faust) and Robert Weine (Caligari) 10 years earlier. This made a joke out of the whole thing, as if Buñuel didn't have the confidence to truly embrace the art sans sarcasm, sans l'absurdité. It would take Buñuel another 40 years before he would refine his style into something admirable. Skip the early stuff and hop straight to 1970 if you want to be more impressed by his work. I'm sure he would agree. In 1977, Buñuel himself stated that he would happily burn all the prints of his old movies. In this case I would be happy to pour the lighter fluid.",neg,negative,neg
"This is a funny movie, there's not a lot of those. OK, the plot is a bit disturbing, but very original. A teen trying to get even with dad, because he hasn't been around and almost sending him to jail because she lie to impress an older boy, how could that not be funny? Plus it not the typical movie featuring teens. First remake i've seen, that is better than the original, the only problem with both: Gerard Depardieu. With another actor this would be a perfect 10, because he plays all rolls the same way, sucks. Another problem it's all the women melting over him, that's not remotely believable, he is not attractive!, y had a rubber troll that was better looking than him, come on!",pos,Positive,pos
"John and his wife Emily, accompanied by their child Edward venture from the comfortable environs of suburbia to the village where the husband spent some of his childhood. There has been a death in the family and John must begin proceedings to take control of an old ramshackle cottage, situated by the seaside and once inhabited by an old man who has apparently committed suicide. Sceptical about the circumstances of the death, John divorces himself from his family and from reality, puts his own life in peril, and puts on the clothes of the old man who is now dead. The film now changes   nothing is what it seems   the people of his past appear, in full Gothic hillbilly glory   his wife worries about his mental state   and his son disappears into the reeds. John finds that the old man didn't commit suicide, that his death is far more mysterious and strange. In a spine chilling finale, we learn that the events of the film actually never happened and that the entire narrative was imagined by the little boy, Edward, who is struggling to come to terms with his parents' divorce proceedings. Modern Love is a macabre piece of high art cinema, a puzzling and perverse piece of pretentiousness, full of vague suggestion and unexplored red herrings. It is humourless and seemingly unconcerned with current Indie trends which both validates its creators, but also renders it passé. But the weaknesses of this Australian film are fully outweighed by its sheer muscular cinematic vision, its bloody minded and uncompromising precision and its oddball Euro horror. The bastardry of script norms and lack of slick dialogue pales into insignificance against a backdrop of noir and a lead performance that needs to be seen to be appreciated. One of the most aggressively weird Australian films in years.",pos,Negative,neg
"Haggard: The Movie is the real life story of Ryan Dunn, and his girlfriend who cheated on him, also with the help from his two friend, 1. A skate boarder who lives for nothing, and, 2. A trying to be funny scientist (which doesn't really work) played by Bam Margera and Brandom Dicamillo. The film Haggard The Movie also has a lot of the characters from Jackass, etc, but to say it was written by Bam Margera and Co. this is a very weak attempt, seems to me like it was written when he was bored, or as a project with they did not pay a lot of attention to. The films also stars Bam's girlfriend Jennifer Rivell, who plays Glauren, Ryan's girlfriend who basically cheated on him, again very bad acting by Jennifer, another actor that some people may be interested in is Steve a.k.a Hellboy, played by RakeYohn, which his character does not seem to be with the story, again bad acting, also this character does not really have a lot of lines in this film which basically makes it very boring. but worst of all, is Raab's character, the voice sound like a smoker who basically has throat cancer, also i think he could have been improved! Overall i think the characters in this film aren't with the story, like in one scene, it would be on one certain character, a minute later, a different scene, different character. To say that this is supposed to be a film, sort of a documentary, its not played by the characters as a documentary, the acting makes you think that its a cheap attempt at making a film with your spare time. Towards the middle of the film we start to lose focus on the main character Ryan Dunn, although a lot of the attention is on Bam and Brandon. In conclusion this film is OK, if you laugh at things that aren't very funny, stupid stunts, terrible acting and the occasional nude scene!, Also i think there there are too many scenes of just no talking and just music! 7 10",pos,negative,neg
"From director Barbet Schroder (Reversal of Fortune), I think I saw a bit of this in my Media Studies class, and I recognised the leading actress, so I tried it, despite the rating by the critics. Basically cool kid Richard Haywood (Half Nelson's Ryan Gosling) and Justin Pendleton (Bully's Michael Pitt) team up to murder a random girl to challenge themselves and see if they can get away with it without the police finding them. Investigating the murder is homicide detective Cassie 'The Hyena' Mayweather (Sandra Bullock) with new partner Sam Kennedy (Ben Chaplin), who are pretty baffled by the evidence found on the scene, e.g. non relating hairs. The plan doesn't seem to be completely going well because Cassie and Sam do quite quickly have Richard or Justin as suspects, it is just a question of if they can sway them away. Also starring Agnes Bruckner as Lisa Mills, Chris Penn as Ray Feathers, R.D. Call as Captain Rod Cody and Tom Verica as Asst. D.A. Al Swanson. I can see now the same concept as Sir Alfred Hitchcock's Rope with the murdering for a challenge thing, but this film does it in a very silly way, and not even a reasonably good Bullock can save it from being dull and predictable. Adequate!",neg,Negative,neg
"I went through boot camp at MCRD Parris Island in 1953 and this film is about as accurate a depiction of what boots went through in that era, even to burying that danged sand flea. Many of the ""actors"" in the film were active duty Marines. This film may be more entertaining to Marines than others, but I feel the film itself is very well done, and Jack Webb made a ""good DI"". Semper Fi!",pos,positive,pos
"Although it has been a failure in movie theaters because mainly Mylene Farmer, one of the 3 top stars in France had not the first role. Fans had changed their mind after that and were waiting for it on DVD. When it has been released on DVD this year it has have a tremendous success ! The others fails was the slow pace and the incredible length (3h) at that time (1994) that have annoyed critics. But the melancholic story makes mandatory that slow pace and long time. The moral of the film is you cannot escape from the death you are destined for. It is the same theme than in the movie ""Final Destination"" and makes it a Gothic tale. The atmosphere is very melancholic.",pos,Positive,pos
"Possibly the best John Travolta role ever. Saturday Night Fever was a great movie & role, but a LONG time ago. I can't think of many of his movies or roles I've even liked, and it's easy to think of rotten ones. He can do meanies like in Pulp Fiction, but he makes the perfect funky angel, and it's hard to imagine anyone doing a better (equally slobby) job with it. Plot summaries are available everywhere, but the plot isn't the point. Just go for the ride and enjoy the cleverness of the little funnies along the way. There is nothing to dislike about this movie, unless one is searching for something profound. I wish there were more movies like this. We need a break from deep or awesome or grisly or complex or hysterical.",pos,Positive,pos
"I have watched Grand Champion all the way through at least twice now. I enjoyed the movie's story, the characters and the actors were not bad. It is refreshing to see a G rated movie. This is a feel good movie. The story is mostly from the view of the children. The interactions between the kids and the adults makes the story interesting. I recommend this movie if you are looking for a family film. If you liked the Little Rascals, you will probably enjoy this. I viewed this movie on cable. Either on Encore or Showtime family. This is not a movie that I would have gone to see at the theatre. But, I only go to the theatre for the effects of the big screen, so most comedies, romantic films, or dramas I do not go for big screen I wait for TV cable edition. Get your kids together, pop some popcorn and enjoy!",pos,Positive,pos
The main reason to check this one out is to watch Laura Gemser in all her glory. That's reason enough for me. She heads to Africa as guests of another rich guy that seems to be all over these films. Huge mansion near the jungle. Hunters staying around for parties when they aren't out hunting zebras. And said parties becoming drunken orgies. All the high society types in the Emanuelle films seem to have out of control fetishes. And Emanuelle beds most of them. Joe D'Amato did NOT direct this one. He just ripped it off and used the same cast(s). And did anyone notice the 'subliminal' sexual images at the gas station? And why did most of the men stay dressed during the sex scenes?  Coherence? Hardly any. BUT GODDESS GEMSER IS BEAUTIFUL.,pos,Positive,pos
"The filmmakers neglected to connect the dots  that is, the sequence of events and choices that led from Charlie Wilson and the anti Soviet mujaheddin to Al Qaeda and Osama Bin Laden and eventually to 9 11. The filmmakers of course neglect to tell us the back story  why were the Soviets in Afghanistan?  but that omission pales in comparison to their failure to reveal that support for Islamicist extremists in Afghanistan in the name of rabid anti communism ultimately strengthened the hand of anti western forces and was a big contributing factor to the mess that we find ourselves in today (9 11, terrorist networks, a prolonged ground war in Afghanistan, etc.). Because these consequences are not spelled out, the movie leaves the viewer feeling sympathetic to Mr. Wilson (hey, check out his latest projects on the Internet) instead of seeing him as an individual whose actions were contrary to the best interests of his country and the West as a whole.",neg,negative,neg
"NO WAY ! I hated Granny. First, she is way too tall  of course she is, it is Tom, whoever's brother, who's playing her  and I hate that thing she does when she brushes her fake silver hair back, but : there are funny parts in this movie. For instance, the fact that every single actor looks V.G. (very German), and also that they think that, even when left alone, they should pretend that that guy (Tom) is their actual ""granny"" or something. I specially liked  not  that moment where Charlotte leaves and starts walking to the nearest gas station to ask for some help. She suddenly finds herself in the middle of some woods (where were these before? nobody dares explaining) and turns, turns, turns a r oun d like a ballerina, looking at the stars...and...ignoring the fact that GRANNY'S BEHIND HER, READY TO STRIKE !!! But, anyway, the music wasn't so bad, the haircuts were okay and the ending terribly provocative... Mmmmm... wish I had the German version.",neg,negative,neg
"As far as I am concerned, this film noir had two totally different things going for it as opposed to the film noirs I am used to viewing: 1   the setting is Paris, France; 2   there is 28 minute scene with no dialog. Both make this movie a bit unique, at least to English speaking film noir fans. Actually, an American, Jules Dussain, shot the film, so it's not entirely a European film. Initially, I was disappointed in this after I had watched the first 40 minutes. It's an expensive DVD and I was bored. However, once that silent segment started   the actual heist (you already know what's it about), the film picked up considerably and just got better and better. In fact, I thought the best part of the story was what happened after the heist. The best aspect of the entire film was the cinematography. This is what makes the disc worth owning. It's excellent film noir photography and a real travelogue for those of us who have never seen Paris...and this is Paris in the mid 1950s. There are lots of bleak but interesting rain soaked Paris streets and buildings I found fascinating to view. In fact, there were many more of those great shots than of London in the much better known film, The Third Man. The lead actor in here, Jean Servais, I think his name is, also is interesting to view. Someone described his face as a cross between Humphrey Bogart and Harry Dean Stanton, and that sums it up perfectly. A warning for those not expecting profanity or nudity in a classic film. This is France, not the United States, so there is a little bit of both in here. I appreciate the DVD offering the choice of subtitles or a dubbed version, too.",pos,positive,pos
"This is a fantastic film. The acting is some of the best I've seen. Tatyana Samojlova is obviously very beautiful, and she automatically draws you into the film with her believable acting. The The cinematography was extremely ahead of its time. Watching it, I could see parallels of cinematography used today. This is truly a groundbreaking film. Because of the cinematography and acting, the audience can feel the change in tone from beginning to end as the tone in the environment in the movie changes. It's a very touching and powerful piece. My friend told me it was must see, and I definitely agree with her. This is one of those films that you watch and never forget. Everyone should see this intensely moving film. This should be put on everyone's ""Movies to See Before ________ (whatever)"" list.",pos,Positive,pos
"I mostly rented this movie to see Shannon Elizabeth. She played well in this movie, but the plot sucked. The movie wasn't really about anything just about trying to stay single after making a pact when one of Jerry O' Connell's friends gets married. The other friends put together this money and who's ever last to get married get's the money ($10,000) from all his friends. Anyway the movie just try to follow through by making no since and trying to make it more funny then making since. I'm glad I only paid .50 for this movie. It really wasn't good at all. I rated it **** out of 10 stars!",neg,Negative,neg
"The director seems like a good, solid man. His parents struggle with the same issues we all cope with. They strayed from each other. They loved each other. They misunderstood each other. And the poor audience has to sit through ninety minutes of what is possibly the trials and tribulations of one of the most boring families ever to come out of Long Island. There are few interesting choices in this documentary  the music is banal, the filming uninspired, and the story is the same story that has played out on every Birch Street in every town in America. I don't mean to sound too harsh  seldom has a sweeter, more well intentioned documentary been made. The director is the kind of man with whom you'd want to be friends. You just wish he had struggled as much presenting the material as his parents did keeping their marriage alive.",neg,Negative,neg
"When It Comes to ANY Movie that was made in or about the South,The Characters are Labeled Racist or Hillbillies or Even Worse That Awful RACIST TERM ""Rednecks"". This Movie Was a Murder Mystery, Plain & Simple. It was a Great Murder Mystery & Did Demonstrate Some Of Human Feelings About Each Others Race. The Same Type of Observations Made By Black Character Actors Toward Whits in Todays' Movies. Before Watching This Movie, One Should Get the ""MISSISSIPPI BURNING"" Chip off of Ones' Shoulder & Enjoy the Plot, Wonderful Acting, & Reminiscent Scenes of Simpler Times That While are Gone, They Will Not be Forgotten. Mr.Faulkner Did His Hometown of OXFORD,Miss. Justice by Having this Movie Shot There. The Producer Noted While Shooting the Movie There, His Stereotypical Perception of Whites were Misconcieved & That He Observed WHite & Black Townspeople & Locals Getting Along With Each Other in the Same Way. So, Sit Back & Enjoy one of Mr Faulkner's Great Classics & Try to Figure out Who The Killer Really Is...",pos,Positive,pos
"Christian Duguay directed this tidy little espionage thriller early in his career. It plays on TV pretty regularly, albeit with some terrific scenes of violence and sex unfortunately trimmed. I finally got around to seeing the theatrical version on a $3 tape from the local video store. Naval officer Aidan Quinn is recruited to impersonate the notorious Carlos the Jackal, and gets a little too caught up in the role. Donald Sutherland Ben Kingsley play Quinn's superiors, with Sutherland a true zealot and Kingsley as the more level headed one. The first half of this fun flick shows Quinn being trained and indoctrinated. The second half has him out in the field, making love to the Jackal's woman and shooting it out with sundry enemies. The idea is to make the Jackal look like a turncoat to the Russians, and let them take care of the world's most notorious assassin. Things don't exactly play out as planned. At times, I almost expected the cast to break out laughing at some of the corny dialogue, but they all play it very straight. In the end, this is one terrific little thriller that deserves your attention. The Jackal's former mistress teaching the highly proper and very married Quinn to rough her up, lick blood from her face, and then go down on her, alone is worth the price of admission.",pos,Positive,pos
"I do not see what is the whole deal about this movie. Patricia Kaas sings, yes, and that makes the film charming, but singing is not enough. I mean, if you want to get all benefits of this one, go buy Patricia's CD and enjoy! The plot is simple (if to omit the ""dreams""); the main characters seem to love each other instantly, and as well instantly forget their other acquaintances. Relationships appear almost ""mandatory"", and the little ""detective story"" thrown in just makes things worse. What at first appeared to be a perfect movie ending, is first screwed up and then comes out as just a dream. I measure movies by how well I would remember them, and for this one, I already started to forget the details.",neg,negative,neg
I saw this movie a while ago and I was looking forward to it. My biggest problem was having seen the trailer I was expecting a very stylish marshal arts movie with plenty of action and maybe a bit of plot to think about along the way. I was sorely disappointed as it would seem that once you have seen the trailer there is nothing else worth watching (if what you are expecting is as described above). My girlfriend at the time gave up half way through and whilst I continued to watch in the hope that something interesting might happen... nothing did. I found no attachment or real interest in any of the characters. I would say just don't bother unless you have a few hours of your life that you don't really care about losing.,neg,negative,neg
"This is the funniest sequel I have seen in a long time it is much funnier than the other three and not a bit scary. It has some very gory pieces in the film, but not bad enough to make you sick. In this one he has a female doll companion, hence the name. If you liked the first three then you'll love this, go watch it!",pos,positive,pos
"It's difficult to criticize a movie with the title like 'Deathbed: The Bed that Eats' and involves a ghost narrator who's trapped behind a 2 way painting he drew and a bed that snores and  if I'm not mistaken, masturbates. (Now, that's getting back at its human companions!) Furthermore, it foams up (in orange, for whatever reason) to absorb edibles lying on its surface, including apples, wine, fried chicken and, of course, people. Again it's suffice to say, that don't expect too much when you see what I guess is stomach acid  the final remains of anything that orange suds takes  dissolving only certain things. It'll drink the wine, but the bottle's okay and it'll eat away at the chicken bone, but the bucket's just fine. Heck, the bed even replaces the unused containers. Hilariously, at one point it downs Pepto Bismol. I had to laugh at that one. I don't think they really wanted you to take any of this seriously. It's low budget, and it's extremely easy to see where they cut costs and saved oodles amounts of money. I thought, in a world where there can be a killer 'Lift' and a 'Blood Beach,' this 'Deathbed' might be amusing to watch. For reasons that might involve cost, 90% of the film is voice over, no one screams or shows extremely low signs of fright confusion on why a bed would attack (I can think of one  and I never was one of those kids that jumped on the bed) and you'll have to suspend your disbelief beyond belief. (A victim loses all flesh on his hands, barely saying ""ow."") Only one scene, that went on too long, was minutely tense  a woman attempts to crawl away only to be dragged back, using a sheet. Where are the MST3k guys?",neg,Positive,pos
"""Graduation Day"" is a result of the success of ""Friday the 13th."" Both of those films are about creative, bloody murders, rather than suspense. If you enjoy that type of film, I'd recommend ""Graduation Day."" If not, I wouldn't. There's nothing new here, just the same old killings. Even though I've given the film a 4 out of 10, I will say that it's not a repulsive film. It is watchable if your curious about it, just not creative.",neg,Negative,neg
"I came across this film by accident and wish I hadn't. Why make a sexually rude sequel (and some gore when a man is beheaded) of a well know children's movie. Do not take young kids to see this the title misdirects you, it has nothing to do with the original Snow White except for stealing it's characters. Better still don't bother going yourself, it's not worth it. I could not watch it all, the poor (in comparison to Disney) cartoon graphics, and no plot except on how to totally mess up a classic movie made me want to give up and leave.",neg,negative,neg
"I am surprised that this, well above average 80's comedy scores only a 5.2 from all the IMDB voters. Dan Ackroyd does his usual satirical turn as a con who seizes a great opportunity to steal a contract from his prisons physician. He retreats to California to start his work giving advice on a radio show pretending to be the infamous Dr Lawrence Baird. The only person that knows he's an imposter is the drunken priest (Walter Matthau) who comes along to be pampered by Ackroyd's new found wealth having blakmailed him. Charles Grodin throws in a good supporting performance too. For its genre I think this film deserves the same crediblity as 'Ferris Bueller' or 'Trading Places'. 7.5   10",pos,positive,pos
"The three main characters are all hopeless, and yet you only feel sorry for one of them: Ernesto, hopelessly devoted to Mercedes. This was part of the frustration: screaming at Mercedes to get a clue and ditch the no good Harry, to no avail. Then there's the satisfaction: Steve Buscemi has a great part as a transvestite, and Harvey Keitel's moving story of his indignity playing a gorilla for a cheap TV movie is incredible. When you least expect it, Quentin Tarintino is doing half a monologue, and Anthony Quinn turns Ernesto into a wealthy man. Time and again great moments appear in the story, but in the end it's hard to know what to feel about this movie. It doesn't have a happy ending, or even a complete one, but it somehow feels right. This movie is strange, but then so am I; no wonder I liked it.",pos,Positive,pos
"I just finished watching one episode(S1 #5 A boy in a bush), so maybe my review is not very fair. But based on that episode, this is a very poor version of CSI, the acting is crap. The main character, Dr whatever her name is, is so fake it actually hurts. I wouldn't cast her to do an add for dog food! The other hurtful thing is David Boreanaz of the ""Angel"" fame, a good actor, does a great job, but wasted coz of the idiotic acting of that woman. Supporting cast is OK, but all is ruined due to this stupid acting of Emily Deschanel . Very disappointing version of CSI, very sorry to see it appear on the filmography of some of the potential talents involved in it. That woman is really sh#t, at least in that episode. But based on this one view, I will not even invest watching it even if it was shown on an elevator screen.",neg,Negative,neg
"I expected this movie was originally supposed to show before the election. CBS's last shot at throwing a dig at Bush. This movie was just awful yet I'm still watching it. **Minor Spoiler** I think CBS got the same people who ""provided"" the memo's to do the semi cut in half sequence. What is with the bad boyfriend storyline? Can the acting be more contrived or the dialog more like a Ed Wood movie. Who ever came up with this script please do us a favor stop writing. If you want to see decent B grade disaster movies then see Earthquake, Flood etc. Avoid this mess of a movie. Hint to CBS avoid showing us this crap. Give us re runs of CSI instead. Better acting and more believable.",neg,Negative,neg
"This is possibly one of my favorite films. It tells the tale of a girl named Gerda (Chelsea Hobbs) who lost her mother at a very young age, so has been bought up by her father. She falls in love with the bell boy named Kai. However, on her birthday the snow queen (Bridget Fonda) comes the the hotel which her father owns and kidnaps Kai. Gurda then goes after Kai, and follows him through the four seasons in an attempt to rescue him. I thought that this was an excellent adaption of the story with great performances from all the cast. It has wonderful special effects and the story fits together very well and is easy to follow. I think that it is a great film for all the family to enjoy. I have watched it every time t has been on since it came out and have never tired of it which is why I have given it a 10!",pos,positive,pos
"Along with In the Army!, this ranks as one of Pauly Shore's best movies, if there is such a thing. While the whole West Coast meets  Midwest culture clash isn't anything new, this film proves to make the story a little more entertaining with the wild and unpredictable antics of a then fresh Shore. While the change in values probably would have gone in the other direction, the whole concept was rather entertaining. Not only was Shore's interaction with the family hilarious, it also had Carla Gugino and Tiffani  Amber Theissen (she'll always have the Amber in my book) in two ravishing and early roles. One of those films I have no problem watching when it is on TV.",pos,Positive,pos
