text,true,response,pred
"This film is one of those that can't be regarded by its outwardness. Indeed, at a first sight, it seems that the story simply focus the desire of have more money. But..let's take a look on the other side...What do you see? You see that the money is only a metaphor for the ambiguous feelings the human being have:Should I do the right thing, or should't I? And... what's the ""right thing""? Le's make a deeper analyses...  What does it mean a little town in the border?   It means that sometimes we can go too close to the border of doing something we thought we couldn't...   What does it mean the arid soil shown in this picture?   It means the dryness that sometimes take possession ot our offensed hearts...   What does it mean the phrase of the character (KRISTEN) :""Now I belong to him""?   It means the loss of our free will, due to our unpremeditated deeds. In MY OPINION that's the writer of the story and the director tried to ""tell"" us. By the way...do you remember what another character (JACK BARNES)said:""Nothing is so simple...""",pos,positive,pos
"This movie follows in the tracks of The Riddle for an all star British cast in a downright awful movie! Poor cgi effects, poor editing, poor direction, a cast that i hope were well paid as this will be a nail in many a careers coffin. Nigel Planer should've donned his Neil wig once more & gone out with a laugh at least! It was like a particularly long & drawn out episode of ""Torchwood"" but without the camp fake Canadian doctor fella...it had the same overly dramatic music though, perpetually repeated, in a vain attempt to drum up some tension. Oh the humanity!",neg,negative,neg
"This HAS to be my guilty pleasure. I am a HUGE fan of 80's movies that were designed to entertain and they didn't care if they offended anyone. This move has no meat, not substance, no deep thought provoking scenes. Just plain old college kids having fun and if a few breasts have to be shown, then so be it! This movie is for when you just want to relax and NOT think. Viva la nudity!",pos,positive,pos
"First, I'm sorry for my English. Second, the true story of this episode: 39 soldiers, operation ""Magistral'"". 6 soldiers were killed. Hundreds of insurgents were killed too. Within 10 years the Soviet Army has lost less than 15 thousand person and killed over 900000 insurgents and civilians. There is no insurgents without permanent help of USA The veteran of war: ""Traditions. There are no traditions in this film. There is no military oath, there is no first jump, no farewell to the Fighting Banner. There is no delivery of awards and medals. There is nothing sacred. There is only a hatred to Soviet army. Being in this area on investigation, we have revealed start up jet shells by insurgents . An exact place could not define. So gunners have asked to give easier square. Also have covered it. Through pair minutes. Here it was the reality of fights. So there was no feeling ""oblivion"". These feelings have appeared then. Already on other war and in other state (Chechnya). Others were children. More kindly. More humanly. And ""prapors"" were as fathers. Well and culmination fight   full orgy. Shooting in anywhere. Mental attacks young Ben Ladens, not killed both not broken through. And full absence of mutual aid. That there was a main thing on this war. Even Americans accused us of inadequate application of force against insurgents. And here it is direct on the contrary. In the summer 1981 I about myself have firmly solved, that personally should fill up a minimum 50 insurgents. As a result accepted ""plan"" has been under fulfilled, and on a demobilization I departed strongly contused and malicious as fig. After returning the first months there was a feeling of that I not was at war up to the end, not business there have completed all how follow. There was any vague, but an oppressive sensation of discontent with itself and caustic irritation. Such here night ideas, can be and out of place at all. Officers really in film are not present absolutely. In occasion of that, what is the time they spent with staff. On fighting is constant. New Year on fighting. From where did they take beds? In mountains? And so on..."" If you want a fairy tale about war, ""9 rota"" and ""Shtrafbat"" is for you. If you want truth, you must see ""Come and see"" or ""Batallions Ask for Fire"".",neg,Negative,neg
"At times I really wonder when I look at the comments here it seems as if most people have seen a completely different film than I have. I've just seen it... and liked it. Not in the way, that it made me happy, but in the way of having seen a good film! The film needs some patience, yes. And yes, the main character is REALLY annoying, but that I'm sure is by intention. Maybe it really makes a difference if you watch this film in a cinema or at home. Most people watch films at home like they are listening to elevator music. This movie definitely doesn't fit as background noise. And no. Good directing doesn't mean having five laughs or explosions a second. Good directing means following your subject and keeping the story and actors together. And while that doesn't work out perfectly, at least I think it works quite good. I liked the photography and sets, even if they brink on the surreal at times. The opening scene is really special. I also liked the acting  Guillaume Depardieu is NOT playing Pierre. He is acting the role of a Pierre who is himself playing a role! Pierre is not the romantic hero that he so hard tries to be, he is a presumptuous and self righteous idiot, a downright weakling who by and by harms all the people he claims to protect. That even his love for truth is simply a pose is beautifully demonstrated by his ongoing lying and not even once asking questions or explaining himself. People are wondering where this or that person came from and other stuff: No character who is seen for more than two scenes is left unexplained, there is enough information scattered throughout the film on everyone. And even the strange building begins to make sense as soon as the target practicing is seen: Remember that Isabelle fled from a war zone   and obviously this is a refuge for fighters in a civil war, most likely Bosnia (which was still going on, when the film was produced). At least that's what is hinted at by the story Isabelle tells Pierre when she first meets him and by the later scene where Pierre shows Isabelle the book with his father on the cover, which is surrounded by books on Bosnia.",pos,positive,pos
"What is it about drug addiction that so draws first time filmmakers to offer their own take on the subject? This subject has been done to death. Drug abuse is bad. We get it. Drug addiction is painful to watch. We get that too. But the bleak subject matter doesn't give the filmmaker license to make a sloppy film. Every film need not be Hitchcockian masterpiece of cinematic excellence, or use Orson Wellesian deep focus, but it's still a narrative movie. Verite does not mean pseudo documentary. Even consumer mini DV cameras are capable of producing white whites and black blacks, and this filmmaker is just being lazy by shooting no contrast scenes with existing lighting: the subject is bleak enough without artificially forcing it with sloppy cinematography. And even documentary films have a sound mix. Vera Farmiga is very talented, given the right material, but the director obviously over directed her and sucked all the life out of her performance. Addicts may live in a fog, but they still have emotions, but none of these characters seem to exist off screen. The supporting players merely delivered their lines without creating real people. Sorry to be so harsh, Debra, but some things are true whether want to believe them or not. I'm sure your next film will be better    but please, not another drug movie. :)",neg,negative,neg
"Unfortunately this is not one of those movies which at least make you laugh at their unbelievable stupidity. It has no entertainment value at all. It just plain sucks. I don't know where to start to explain how much this movie annoyed me. I think what really takes the cake is the unbearable soundtrack. It sounds as if someone took a simple beat and then, for the rest of it, let a 5 year old child run amok with a synthesizer and taped it. It's really that awful and as if that's not enough, there's not one scene in the movie without ""music"" (=noise). By the end of the movie, you're either deaf or already cut off your ears earlier. Which would at least keep you from falling asleep, since there is nothing happening in the movie to keep your attention. Just a lot of bad acting, a few cheap and unconvincing kills, no story at all (it just jumps from one scene to another and you as the viewer can try to make any sense of it) and in the last 30 minutes or so you can witness some of the worst ""special effects"" ever. It's extremely boring. Do not watch this movie! You could do something much more entertaining like staring at a wall or reading the phone book. Did I mention how much the soundtrack sucked?",neg,negative,neg
"Conrad Phillips stars in the 1950s action adventure series   William Tell. Set in the fourteenth century during the hostile Austrian occupation of Switzerland, William Tell is a reluctant freedom fighter, battling heroically against the tyranny and oppression of the invading forces. William tell is the Swiss version of Robin Hood. Conrad Phillips plays the protagonist fantastically. It is possible that Pascal Bugnion would have had greater success in the role, but he was unavailable at the time of filming. The classic action show is made up of series of 39. The episodes are in black and white, but this does not detract from the entertainment in any way.",pos,Positive,pos
"The first bottom movie was an absolute laugh from the beginning. Excellently made and thought out. I will definitely take my hat off to the production team and the actors. The Bottom actors attempt to run a hotel. If you look closely this film was most probably shot in the Isle Of Wight, near my home.",pos,Positive,pos
"Controversial German journalist Jutta Rabe who herself got divers to the Estonia wreck, put this silly ""thriller"" together to save her investment. Donald Sutherland is of course always watchable   but he's only in three scenes. He delivers his material perfectly   as you can ask from a professional. Also, the main lead, Jürgen Prochnov, is at times very good. The rest of the cast is, however, bad. The actress that plays the Swedish minister secretary (or whatever she was   she seems not listed in the cast) is EXTREMELY bad. The script has some nice ideas, and the story is actually kind of interesting. The final screenplay should have been re written a couple of more times though. Some scenes are plain ridiculous   especially the end scenes. The film is almost 2 hours, which is about 45 minutes too long. Presented as a 60 minutes TV film, this could have been really interesting. As a two hour feature, it's pretentious, boring, stupid and plain out silly. Jutta Rabe might be a good journalist (her ideas about governments using Estonia to transport military items from Estonia to Sweden have been concluded as true recently, when the Swedish military officially said that they actually used the ship Estonia for this), but as a film producer she sucks. The director, the writer and the actors suck more. I give this film 3 10. I would've given it a 1, if it wasn't for the fact that the story is quite interesting at times, Donald Sutherland is in it and it has real stock footage. But we don't even see the boat sink! What kind of movie about a ship that sinks is that? Like a werewolf movie without werewolves...",neg,negative,neg
"Haggard: The Movie is the real life story of Ryan Dunn, and his girlfriend who cheated on him, also with the help from his two friend, 1. A skate boarder who lives for nothing, and, 2. A trying to be funny scientist (which doesn't really work) played by Bam Margera and Brandom Dicamillo. The film Haggard The Movie also has a lot of the characters from Jackass, etc, but to say it was written by Bam Margera and Co. this is a very weak attempt, seems to me like it was written when he was bored, or as a project with they did not pay a lot of attention to. The films also stars Bam's girlfriend Jennifer Rivell, who plays Glauren, Ryan's girlfriend who basically cheated on him, again very bad acting by Jennifer, another actor that some people may be interested in is Steve a.k.a Hellboy, played by RakeYohn, which his character does not seem to be with the story, again bad acting, also this character does not really have a lot of lines in this film which basically makes it very boring. but worst of all, is Raab's character, the voice sound like a smoker who basically has throat cancer, also i think he could have been improved! Overall i think the characters in this film aren't with the story, like in one scene, it would be on one certain character, a minute later, a different scene, different character. To say that this is supposed to be a film, sort of a documentary, its not played by the characters as a documentary, the acting makes you think that its a cheap attempt at making a film with your spare time. Towards the middle of the film we start to lose focus on the main character Ryan Dunn, although a lot of the attention is on Bam and Brandon. In conclusion this film is OK, if you laugh at things that aren't very funny, stupid stunts, terrible acting and the occasional nude scene!, Also i think there there are too many scenes of just no talking and just music! 7 10",pos,Negative,neg
"The guy mentioned to sue for the 1.5 hours wasted of his life, i cant disagree on that one. The movie started as some kind of class project cam thing, and ended up in a dark room. whenever the girls where fully nude there magically appeared light all over, I know i dint write the script or having anything to say about it. But this one is like a bad remake copy of saw with a bad ending. To think of a man who actually wrote this story, sick. This is really a shocking movie cant say ist horror cause its not. Its mere the brutality and the violence that made me sick. It really is frustrating to watch a movie without ending, its like bang, in your face. the movie is done now you can go home.  cons  cam  lighting (althrue i think is was supposed to)  overdone  sickening cons  real in your face  acting was good in my opinion  it sucks you in Overall The movie is NOT my taste of movie the witer wanted us to know that these things happen, and the man wrote his own little fantasy. If you ever saw the movies saw ? they all had a moment of comfort in it something to hold on to. This one ? does not. Maybe its just me, that im too soft but this movie made me tremble, and the story is real short, sick man kills girls slowly. But the actors sucked you in this movie every blow every scream you could almost feel it. And to be honest, i was to quick to judge about this one, its a terrible movie ? no its not. its an overdone example of reality, this is a real as it could get. But don't watch this movie if you expect great mystery or a real plot, or even some kind of story. man gets girls in a dark room and kills em one by one, thats really it.",neg,negative,neg
"This is absolutely nothing like the WWF and the 'Attitude Era' of the WWF. I have always been a dedicated WWF fan and I never took a glimpse of its competition. Now, I rue the day that I wanted the WWF to take charge. At the least the WCW would try something new and radical all the time instead of keeping up as a mask of the actual intentions of the show and this holds true to ECW as well. The WWF has always been about Hulk Hogan, Andre The Giant, and other old wrestlers like so and the 'Attitude Era' only happened to catch up with the radical ideas of the competition. The WWE is the same trash as it was before the Attitude Era only dumbed down and demoralized. The wrestlers are terrible, the brand split is mind scrambling, and the story lines and stipulations are non existent. The WWE is so bad that it ceases to even be a former shell of itself by pushing characters and wrestlers into the main event suddenly and by retaining barriers of creativity. Sure, the show shakes the brains of sweet, innocent, and easily brain washed children and meager, lousy, pariah, stupid people of the Internet Wrestling Community that actually consider the company anything good. Anybody that even shudders and rests on the thought that this show and product is good can go straight to hell.",neg,negative,neg
"I caught this movie on local t.v. at about 4:30 a.m. I didn't have expectations for it but after the opening credits I knew I was into something good. There are situations that are left for your interpretation to ""find out"" what really happened so your attention is a key factor. The whole psychological thriller situation deals a lot with character development and the way things are executed by the main character. Your sub conscience also plays an important part because through a series of events and dialogs you will be able to make a correct interpretation and generate an opinion. The technical aspects are very good. Really good in fact. Kelly Overtone is extremely sexy and she's candy for the eye although she's most of the time in her white clothes. The fear factor is almost inexistent but there's plenty of mystery and tension to dig from. I would recommend it for those who enjoy supernatural and psychological thrillers.",pos,positive,pos
"I watched the MST3K version of the movie, and this review includes minor spoilers. When I started watching this movie, it looked like it might have promise as a cheesy sci fi flick, but the more I watched it, the more disappointing it got. The first reason is pretty idiosyncratic   I liked the mousy shy girl with glasses a lot more than the model Wanda became by the end of the movie. More deeply, it was the fact that the loss of glasses and change in clothing replaced any actual character growth. Instead of growing into a character that could take care of herself, Wanda was just as dependent on males to do everything for her as she was at the start of the movie. The acting could have been better (though I got tired of cracks about Ireland's voice   they were even in the movie itself! It's not that bad.) The background was okay, but it was a little hokey (aliens = humans with facepaint), and could have used more explanation. Maybe it was just that I was interested in the movie itself, but Joel and the bots did little for me. The movie might have been better without them at all. Overall (for the movie itself, not the MST3K), a 3 out of 10. It was an okay flick, for what it was.",neg,negative,neg
"This review contains a partial spoiler. Shallow from the outset, 'D.O.A.' at least starts as if it might be a slick, entertaining piece of nonsense like Fincher's 'The Game'. It's central character(Dennis Quaid) suffers from a nightmarish sequence of events that appear to be setting up a twisted and cunning thriller. But the plot rattles along at too great a pace, leading to a dramatic twist not half way through, when the character learns that he has been poisoned and has only 1 2 days to live. And this, simply, is too big a twist to add casually to a story. Once this has happened, the film's only chance of success is if it treats the psychology of someone in this situation as its principal, indeed, its only subject matter: but 'D.O.A.' continues as if this was just a normal revelation like any other you might usually encounter in a thriller. The problem is two fold: firstly, Quaid's actions don't convince as what someone is his situation would be likely to do; and secondly, even if they did convince, it's hard to care about what happens next when the most significant point of plot has already been prematurely resolved. The rest of the film is pretty standard fare for a film of this sort, but made more tedious than usual by the character's slightly treated predicament, which logically dwarfs the events the film is interested in. Dennis Quaid, in the lead role, doesn't convince either as a burnt out professor or as a man who is destined to die: Meg Ryan is, as often, ditzy and annoying. Another negative feature is the ugly 80s soundtrack. Watch 'The Game' instead, which from similar roots remains tight and character driven, whereas 'D.O.A.' drifts into developments that only undermine its own premise. As the premise is itself quite intriguing, it's a shame to see it drowned in a surplus of over cooked plot.",neg,negative,neg
"This is your typical junk comedy. There are almost no laughs. No genuine moments. No memorable lines. No scenes where you think to yourself, ""that was clever"". Nothing. The plot is embarrassingly bad.  It's ugly to look at and boring as hell! There is no substance here. This movie has nothing. It doesn't matter if Farely was in this or not. A crap movie is a crap movie no matter who's involved.  Also, David Spade is a terribly unfunny comedian who plays the same lousy character in ever movie TV show that he's in. This movie was dead on arrival. There is no life here. No fun. No intelligence. There are plenty of other ""dumb"" comedies more enjoyable that this one. This film is just pathetic.  2 10",neg,negative,neg
"I am surprised that this, well above average 80's comedy scores only a 5.2 from all the IMDB voters. Dan Ackroyd does his usual satirical turn as a con who seizes a great opportunity to steal a contract from his prisons physician. He retreats to California to start his work giving advice on a radio show pretending to be the infamous Dr Lawrence Baird. The only person that knows he's an imposter is the drunken priest (Walter Matthau) who comes along to be pampered by Ackroyd's new found wealth having blakmailed him. Charles Grodin throws in a good supporting performance too. For its genre I think this film deserves the same crediblity as 'Ferris Bueller' or 'Trading Places'. 7.5   10",pos,positive,pos
"There are worse ways to spend an evening than watching this movie, although it IS a tad predictable. Drew Barrymore does a very good job of being the outcast nerd in this film   excellent casting choice. What I found a bit hard to believe is that the popular girls finally accept her   in my experience that crowd has a longer memory than that, and knowing how AWFUL Drew's character was (ostrich feathers?) at the start of the school year would have kept them miles away, regardless of what rumors her brother drums up. (And does ""Kole Slaw Food"" really make HIM all that popular? I doubt it). As for rooting for Drew's character to win big as a reporter   well, I would have hoped she could have come up with a story long before the prom. A bit contrived. Having said all that, it was a cutsie piece of fluff that will be entertaining as long as you don't expect too much.",pos,Positive,pos
"In a not totally successful attempt to be taken seriously, and move into 'adult' films, Mr. Hughes gives us this film about a young married couple. True, it's got every cliche in the book in it, silly fantasy stuff and all that, but more importantly  it's got Elizabeth McGovern. Clearly the best actress to have ever appeared in a John Hughes film, she lends a weight to it that elevates the sometimes silly material. Kevin Bacon (and his hair) is pretty good as her husband, but McGovern steals the movie with her quiet true moments of honesty. The 'teen film' fun that worked so well in other Hughes films falls flat here  like a favorite uncle whose jokes made you laugh when you were 9, but keeps telling them when you are 15 and you wish he'd find some new material. But I keep going back to McGoverns performance, because it's truly moving. Mr. Hughes most interesting films to me have real actors in them (Some Kind of Wonderful, Breakfast Club) and when his material bumps up against a true talent, some wonderful things can happen. If only he'd trust that it doesn't have to be tarted up with the silly fantasy stuff.",neg,Positive,pos
A horror picture set ultimately to parody but still in it's play out could scare a few of those that are frailed nerved or easily disgusted when they see whats under their skin. I laughed at it though. It was easy to decipher the true killer and his acting didn't help. This only led to Potente looking even better. Anatomie is not much of a horror picture for those foreign of the genre but those contained should get a few unintentional laughs and an interesting peak at German horror cinema. 6 10,pos,Negative,neg
"This is a true ""feel good"" movie, full of genuine sweetness and admirable people. Although the premise requires a significant suspension of disbelief, it is worth the trouble to do so. The director, writers, and actors truly convey what it feels like to be in love.",pos,positive,pos
